City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,eyl,SO,7.9803,49.8164,74.75,67.0,14.0,4.41,few clouds
276,agucadoura,PT,41.4318,-8.7804,57.0,93.0,0.0,1.14,clear sky
277,tawang,IN,27.5833,91.8667,40.21,83.0,54.0,3.24,broken clouds
278,qasigiannguit,GL,68.8193,-51.1922,33.8,86.0,90.0,10.36,light snow
279,charters towers,AU,-20.1,146.2667,82.92,46.0,82.0,3.47,broken clouds
280,dingle,PH,10.9995,122.6711,80.42,72.0,77.0,7.47,broken clouds
281,wellington,NZ,-41.2866,174.7756,62.6,88.0,90.0,13.8,overcast clouds
282,beloha,MG,-25.1667,45.05,69.96,90.0,56.0,8.66,broken clouds
283,tianpeng,CN,30.9866,103.9393,60.01,1.0,100.0,6.96,overcast clouds
285,swan river,CA,52.1058,-101.2676,68.0,15.0,52.0,4.61,broken clouds
286,novaya ladoga,RU,60.1025,32.3019,27.0,52.0,44.0,9.8,scattered clouds
287,gurupi,BR,-11.7292,-49.0686,72.66,89.0,100.0,7.18,overcast clouds
288,svetlogorsk,BY,52.6333,29.7333,30.38,88.0,33.0,7.02,scattered clouds
289,grand gaube,MU,-20.0064,57.6608,79.0,70.0,100.0,5.99,overcast clouds
290,kumbo,CM,6.2,10.6667,65.32,63.0,81.0,2.37,broken clouds
291,araouane,ML,18.9048,-3.5265,83.93,12.0,0.0,8.7,clear sky
292,ixtapa,MX,20.7,-105.2,78.8,69.0,75.0,14.97,broken clouds
293,kousseri,CM,12.0769,15.0306,89.6,18.0,8.0,9.22,clear sky
294,khandyga,RU,62.6667,135.6,22.1,80.0,100.0,6.62,overcast clouds
295,coruripe,BR,-10.1256,-36.1756,77.83,73.0,100.0,7.76,overcast clouds
296,aginskoye,RU,51.1,114.53,45.7,32.0,95.0,2.13,overcast clouds
297,acari,PE,-15.4311,-74.6158,71.69,82.0,99.0,5.44,moderate rain
298,progreso,MX,21.2833,-89.6667,93.2,43.0,40.0,13.8,scattered clouds
299,berea,US,41.3662,-81.8543,62.6,82.0,90.0,11.5,overcast clouds
300,nishihara,JP,26.1842,127.7558,73.4,64.0,75.0,10.36,broken clouds
