City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Santa Maria Do Para,BR,2021-04-01 14:32:04,-1.3503,-47.5756,83.64,76,98,0.72
214,Jaunjelgava,LV,2021-04-01 14:32:05,56.6167,25.0833,45.0,68,55,11.01
215,Osa,RU,2021-04-01 14:32:05,57.2829,55.4567,34.07,98,100,10.04
216,Madanapalle,IN,2021-04-01 14:32:05,13.55,78.5,85.41,16,100,4.54
217,Bani Walid,LY,2021-04-01 14:32:05,31.7566,13.9942,71.49,24,0,4.9
218,Narsaq,GL,2021-04-01 14:32:06,60.9167,-46.05,35.6,80,75,3.44
219,Mount Clemens,US,2021-04-01 14:32:06,42.5973,-82.878,28.0,63,75,17.27
220,Dingle,PH,2021-04-01 14:32:06,10.9995,122.6711,76.48,82,99,9.35
221,Revda,RU,2021-04-01 14:28:13,56.801,59.9303,37.4,81,90,15.66
222,Aswan,EG,2021-04-01 14:32:07,24.0934,32.907,81.25,13,0,10.36
223,Schluchtern,DE,2021-04-01 14:32:07,50.3489,9.5253,75.0,33,11,10.47
224,Olinda,BR,2021-04-01 14:32:07,-8.0089,-34.8553,84.2,61,40,9.22
225,Vardo,NO,2021-04-01 14:32:08,70.3705,31.1107,33.8,86,75,9.22
226,Iqaluit,CA,2021-04-01 14:29:47,63.7506,-68.5145,-20.0,69,40,25.32
227,Milanowek,PL,2021-04-01 14:32:08,52.1188,20.6716,68.0,34,0,16.11
228,Chimbote,PE,2021-04-01 14:32:08,-9.0853,-78.5783,71.24,81,100,7.18
229,Gaoua,BF,2021-04-01 14:32:09,10.2992,-3.2508,102.16,7,100,9.19
230,Zlobin,HR,2021-04-01 14:32:09,45.2924,14.6541,71.6,37,0,4.61
231,Vestmanna,FO,2021-04-01 14:32:09,62.1564,-7.1664,44.6,87,75,17.27
232,Mangai,CD,2021-04-01 14:32:09,-4.05,19.5333,82.27,65,88,2.33
233,Norwich,GB,2021-04-01 14:30:09,52.6278,1.2983,46.99,71,75,14.97
234,Paragominas,BR,2021-04-01 14:32:10,-2.9667,-47.4833,84.45,72,63,0.58
235,Faya,SA,2021-04-01 14:32:10,18.3851,42.4509,77.0,29,20,17.27
236,Yar-Sale,RU,2021-04-01 14:32:10,66.8333,70.8333,25.74,96,100,15.21
237,Capao Da Canoa,BR,2021-04-01 14:32:11,-29.7456,-50.0097,70.97,69,50,5.77
238,Manavalakurichi,IN,2021-04-01 14:32:11,8.1333,77.3,86.0,74,40,6.91
239,Calabozo,VE,2021-04-01 14:32:11,8.9242,-67.4293,90.36,38,99,11.27
240,Salinas,US,2021-04-01 14:32:12,36.6777,-121.6555,60.8,61,1,10.36
241,Nicoya,CR,2021-04-01 14:32:12,10.1483,-85.452,86.0,51,0,24.16
242,Bar Harbor,US,2021-04-01 14:32:12,44.3876,-68.2039,50.0,100,90,4.61
243,Lethem,GY,2021-04-01 14:32:13,3.3803,-59.7968,91.69,39,99,10.87
244,Samandag,TR,2021-04-01 14:32:13,36.0842,35.9771,64.4,45,40,19.57
245,Codrington,AU,2021-04-01 14:32:13,-38.2667,141.9667,60.55,62,84,5.01
246,General Pico,AR,2021-04-01 14:32:13,-35.6566,-63.7568,70.07,57,81,11.65
247,Dir,PK,2021-04-01 14:32:14,35.2058,71.8756,47.61,36,0,10.89
248,Talara,PE,2021-04-01 14:28:29,-4.5772,-81.2719,80.6,54,0,18.41
249,Marzuq,YE,2021-04-01 14:32:14,14.4,46.4667,79.41,19,60,13.44
250,Necochea,AR,2021-04-01 14:32:14,-38.5473,-58.7368,69.01,52,83,8.99
251,Yarim,YE,2021-04-01 14:32:15,14.298,44.3779,64.85,32,17,0.31
252,Bandarbeyla,SO,2021-04-01 14:32:15,9.4942,50.8122,80.2,61,4,9.04
253,Batie,BF,2021-04-01 14:32:15,9.8833,-2.9167,102.92,8,53,8.88
254,Andenes,NO,2021-04-01 14:32:16,69.3143,16.1194,39.99,93,100,12.66
255,Oussouye,SN,2021-04-01 14:32:16,12.485,-16.5469,98.6,30,0,4.61
256,Jaisalmer,IN,2021-04-01 14:32:16,26.9147,70.9181,88.57,3,0,7.05
257,Santa Maria,BR,2021-04-01 14:27:35,-29.6842,-53.8069,71.6,73,40,5.75
258,Palmas,BR,2021-04-01 14:32:17,-10.2128,-48.3603,78.8,89,75,11.5
259,Shubarkuduk,KZ,2021-04-01 14:32:17,49.1447,56.4872,24.75,83,7,7.87
260,Berlevag,NO,2021-04-01 14:32:17,70.8578,29.0864,33.17,83,100,5.77
261,Kalanchak,UA,2021-04-01 14:32:17,46.2562,33.2907,53.85,52,0,8.3
262,Kidal,ML,2021-04-01 14:32:18,18.4411,1.4078,96.6,5,3,15.61
263,Huambo,AO,2021-04-01 14:32:18,-12.7761,15.7392,68.16,82,98,3.31
264,Buchanan,LR,2021-04-01 14:28:31,5.8808,-10.0467,93.2,62,75,6.91
265,Caceres,ES,2021-04-01 14:32:18,39.522,-6.3748,66.0,62,94,10.0
266,Ambilobe,MG,2021-04-01 14:32:19,-13.2,49.05,78.58,83,89,1.32
267,Manacapuru,BR,2021-04-01 14:32:19,-3.2997,-60.6206,78.8,89,90,4.61
268,Illapel,CL,2021-04-01 14:32:19,-31.6308,-71.1653,71.53,53,0,5.08
269,Krasnoselkup,RU,2021-04-01 14:32:19,65.7,82.4667,9.91,87,100,19.53
270,Slantsy,RU,2021-04-01 14:32:20,59.1182,28.0914,40.64,69,6,7.29
271,Nsanje,MW,2021-04-01 14:32:20,-16.92,35.262,81.18,53,18,5.77
272,Kikwit,CD,2021-04-01 14:32:20,-5.041,18.8162,83.05,64,72,2.64
273,Springbok,ZA,2021-04-01 14:32:21,-29.6643,17.8865,78.1,26,0,13.96
274,Amapa,BR,2021-04-01 14:32:21,1.0,-52.0,74.01,97,100,0.07
275,Karatau,KZ,2021-04-01 14:32:21,43.1667,70.4667,34.63,65,13,2.37
276,Constitucion,CL,2021-04-01 14:32:22,-35.3333,-72.4167,64.6,65,4,4.16
277,Havoysund,NO,2021-04-01 14:32:22,70.9963,24.6622,35.6,80,40,4.61
278,Rio Gallegos,AR,2021-04-01 14:32:22,-51.6226,-69.2181,51.8,66,75,20.71
279,Lake City,US,2021-04-01 14:32:23,30.1897,-82.6393,55.99,43,1,18.41
280,Gabu,GW,2021-04-01 14:32:23,12.2833,-14.2167,109.51,7,5,5.95
281,Ponta Delgada,PT,2021-04-01 14:32:23,37.7333,-25.6667,62.6,77,20,9.22
282,Bayan,CN,2021-04-01 14:32:24,46.0833,127.4,45.32,53,100,7.47
283,Lilongwe,MW,2021-04-01 14:32:24,-13.9669,33.7873,75.2,60,40,11.5
284,Usinsk,RU,2021-04-01 14:32:24,65.9939,57.5281,32.27,98,100,9.89
285,Moose Factory,CA,2021-04-01 14:32:24,51.2585,-80.6094,8.6,66,1,2.3
286,Uarini,BR,2021-04-01 14:32:25,-2.99,-65.1083,80.6,94,75,3.44
287,Pushkino,RU,2021-04-01 14:32:25,56.0172,37.8667,46.0,93,75,11.18
288,Puerto Colombia,CO,2021-04-01 14:32:25,10.9878,-74.9547,82.4,69,40,12.66
289,San Andres,CO,2021-04-01 14:32:26,12.5847,-81.7006,84.2,70,40,16.11
290,Nueva Loja,EC,2021-04-01 14:32:26,0.0847,-76.8828,75.2,94,90,3.44
291,Marysville,US,2021-04-01 14:32:26,48.0518,-122.1771,42.01,93,1,3.44
292,Avon Park,US,2021-04-01 14:32:27,27.5959,-81.5062,77.0,78,1,5.75
293,Los Llanos De Aridane,ES,2021-04-01 14:32:27,28.6585,-17.9182,73.4,56,20,6.91
